ID,Word,Definition,Part of Speech,Example Sentence,Synonym 1,Synonym 2,CEFR Level,Difficulty Score,Category,Frequency Level,Word Family,Usage Note,Related Words
7500,Quilted,Stitch or sew together.,Verb,Quilt the skirt.,quilt,,B2,43,Arts & Creativity,Less Common,,,bolster;anastomose;entwine
7501,Quincentenary,Of or relating to a 500th anniversary.,Adjective,The quincentennial celebration of the founding of the city.,quincentennial,,C2,83,General,Rare,,,
7502,Quintupling,Increase fivefold.,Verb,The population of China quintupled.,quintuple,,C2,83,General,Rare,,,manifold;duplicate;quadruple
7503,Quixotic,Not sensible about practical matters; idealistic and unrealistic.,Adjective,As quixotic as a restoration of medieval knighthood.,romantic,wild-eyed,B1,32,General,Common,,,impractical
7504,Quizzically,In a quizzical and questioning manner.,Adverb,They looked quizzically at the doctor.,questioningly,,C2,83,General,Rare,,,perplexed;quizzical
7505,Quondam,Belonging to some prior time.,Adjective,Erstwhile friend.,erstwhile,former,C2,83,General,Rare,,,past
7506,Quotation,A short note recognizing a source of information or of a quoted passage.,Noun,The student's essay failed to list several important citations.,citation,cite,B1,21,Communication,Common,,,annotation;excerption;extract
7507,Rabbinic,Of or relating to rabbis or their teachings.,Adjective,Rabbinical school.,rabbinical,,C2,83,General,Rare,,,rabbi
7508,Rabidity,Unrestrained excitement or enthusiasm.,Noun,Poetry is a sort of divine madness.,madness,rabidness,C2,83,General,Rare,,,enthusiasm;rabid;exuberance
7509,Rabidness,Unrestrained excitement or enthusiasm.,Noun,Poetry is a sort of divine madness.,madness,rabidity,C2,83,General,Rare,,,enthusiasm;rabid;exuberance
7510,Raciness,A strong odor or taste property.,Noun,The pungency of mustard.,pungency,bite,C2,83,General,Rare,,,sharpness;racy;spiciness
7511,Raddled,Used until no longer useful.,Adjective,Battered trumpets and raddled radios.,worn-out,,C2,83,General,Rare,,,worn;tired
7512,Radiate,Extend or spread outward from a center or focus or inward towards a center.,Verb,Spokes radiate from the hub of the wheel.,ray,,B2,43,General,Less Common,,,radiation;breathe;sparkle
7513,Radiopaque,Not transparent to X-rays or other forms of radiation.,Adjective,Barium sulfate is radiopaque.,radio-opaque,,C2,83,General,Rare,,,radiopacity
7514,Raffish,Marked by up-to-dateness in dress and manners.,Adjective,A dapper young man.,dapper,dashing,B2,43,General,Less Common,,,fashionable;unconventional;stylish
7515,Raffles,Dispose of in a lottery.,Verb,We raffled off a trip to the Bahamas.,raffle,raffle off,C2,83,Business,Rare,,,present;distribute;bequeath
7516,Raiding,"Search without warning, make a sudden surprise attack on.",Verb,The police raided the crack house.,raid,bust,B1,32,Society & Culture,Common,,,surprise;surround;circumvent
7517,Railing,Enclose with rails.,Verb,Rail in the old graves.,rail,rail in,B1,26,General,Common,,,complain;enclose;confine
7518,Railroading,"Compel by coercion, threats, or crude means.",Verb,They sandbagged him to make dinner for everyone.,dragoon,sandbag,B2,43,Society & Culture,Less Common,,,squeeze;pressure;provide
7519,Raininess,(of weather) the badness of the weather.,Noun,They were wearied with the foulness of the weather.,foulness,,C2,83,General,Rare,,,badness;severeness;distressfulness
7520,Raisable,Capable of being raised.,Adjective,The roadster had a raisable sunroof.,raiseable,,C2,83,General,Rare,,,mobile
7521,Rakishly,In a rakish manner.,Adverb,She wore her hat rakishly at an angle.,raffishly,carelessly,B2,43,General,Less Common,,,fashionable;rakish;stylish
7522,Rambling,Continue talking or writing in a desultory manner.,Verb,This novel rambles on and jogs.,ramble on,ramble,B1,32,General,Common,,,continue;proceed;locomote
7523,Rambunctious,Noisy and lacking in restraint or discipline.,Adjective,A boisterous crowd.,boisterous,robustious,C2,83,General,Rare,,,disorderly
7524,Rampant,Rearing on left hind leg with forelegs elevated and head usually in profile.,Adjective,A lion rampant.,rearing,,B1,21,General,Common,,,vertical;ramp;uncontrolled
7525,Rampart,An embankment built around a space for defensive purposes.,Noun,They stormed the ramparts of the city.,bulwark,wall,B1,32,Science & Technology,Common,,,embankment;merlon;bailey
7526,Ranching,Manage or run a ranch.,Verb,Her husband is ranching in Arizona.,ranch,,C2,83,Society & Culture,Rare,,,farm
7527,Randomised,Arrange in random order.,Verb,Randomize the order of the numbers.,randomize,randomise,C2,83,General,Rare,,,disarrange
7528,Randomize,Arrange in random order.,Verb,Randomize the order of the numbers.,randomise,,C2,83,General,Rare,,,randomization;disarrange
7529,Randomly,In a random manner.,Adverb,The houses were randomly scattered.,indiscriminately,haphazardly,B1,32,General,Common,,,promiscuous;general;random
7530,Rankness,The property of producing abundantly and sustaining vigorous and luxuriant growth.,Noun,He praised the richness of the soil.,richness,prolificacy,C2,83,General,Rare,,,productivity;fertility;sweetness
7531,Ransacked,Steal goods; take as spoils.,Verb,During the earthquake people looted the stores that were deserted by their owners.,plunder,despoil,B1,26,Business,Common,,,relieve;pillage;take
7532,Ransacking,A thorough search for something (often causing disorder or confusion).,Noun,He gave the attic a good rummage but couldn't find his skis.,rummage,,B2,43,General,Less Common,,,hunting;seeking;frisking
7533,Rapaciousness,An excessive desire for wealth (usually in large amounts).,Noun,The greediness of lawyers.,greediness,voraciousness,C2,83,General,Rare,,,rapacious;gluttony;selfishness
7534,Rapture,A state of being carried away by overwhelming emotion.,Noun,Listening to sweet music in a perfect rapture.,ecstasy,transport,B1,26,General,Common,,,gratification;satisfaction;happiness
7535,Rarefied,Lessen the density or solidity of.,Verb,The bones are rarefied.,rarefy,,C2,83,General,Rare,,,change;alter;modify
7536,Rascally,Playful in an appealingly bold way.,Adjective,A roguish grin.,devilish,roguish,C2,83,General,Rare,,,rascal;playful;dishonest
7537,Rasping,Unpleasantly harsh or grating in sound.,Adjective,A gravelly voice.,grating,gravelly,B2,43,General,Less Common,,,cacophonous;cacophonic
7538,Ratable,Liable to payment of locally assessed property taxes.,Adjective,The ratable value of property.,rateable,,B2,43,General,Less Common,,,taxable;ratability;nonexempt
7539,Rateable,Liable to payment of locally assessed property taxes.,Adjective,The ratable value of property.,ratable,,B2,43,General,Less Common,,,taxable;rateability;nonexempt
7540,Ratified,"Approve and express assent, responsibility, or obligation.",Verb,All parties ratified the peace treaty.,sign,ratify,B1,21,Society & Culture,Common,,,formalize;indorse;validate
7541,Rational,Of or associated with or requiring the use of the mind.,Adjective,Intellectual problems.,intellectual,noetic,A2,6,General,Very Common,,,coherent;logical;demythologized
7542,Rationalise,Structure and run according to rational or scientific principles in order to achieve desired results.,Verb,We rationalized the factory's production and raised profits.,rationalize,,C2,83,Business,Rare,,,support;palliate;territorialise
7543,Rationalize,"Defend, explain, clear away, or make excuses for by reasoning.",Verb,Rationalize the child's seemingly crazy behavior.,apologize,apologise,B1,18,Communication,Common,,,support;palliate;extinguish
7544,Rationing,"Restrict the consumption of a relatively scarce commodity, as during war.",Verb,Bread was rationed during the siege of the city.,ration,,B1,26,Business,Common,,,circumscribe;confine;allocate
7545,Rattlebrained,Lacking sense or discretion.,Adjective,His rattlebrained crackpot ideas.,rattlepated,scatterbrained,C2,83,General,Rare,,,foolish
7546,Rattlepated,Lacking sense or discretion.,Adjective,His rattlebrained crackpot ideas.,rattlebrained,scatterbrained,C2,83,General,Rare,,,foolish
7547,Raucous,Disturbing the public peace; loud and rough.,Adjective,A raucous party.,rowdy,,A2,14,General,Very Common,,,cacophonous;cacophonic;disorderly
7548,Raunchy,Suggestive of or tending to moral looseness.,Adjective,Lewd whisperings of a dirty old man.,lewd,obscene,C2,83,General,Rare,,,sexy;raunch;dirty
7549,Ravaging,Cause extensive destruction or ruin utterly.,Verb,The enemy lay waste to the countryside after the invasion.,lay waste to,waste,C2,83,General,Rare,,,destroy;vandalise;explode
7550,Ravelling,Disentangle.,Verb,Can you unravel the mystery?,ravel,unravel,C2,83,General,Rare,,,disentangle;unsnarl;intertwine
7551,Ravening,Prey on or hunt for.,Verb,These mammals predate certain eggs.,raven,prey,C2,83,Health & Wellness,Rare,,,seize;forage;kidnap
7552,Ravenously,In the manner of someone who is very hungry.,Adverb,He pounced on the food hungrily.,hungrily,,C2,83,General,Rare,,,ravenous;peckish;empty
7553,Ravishing,Force (someone) to have sex against their will.,Verb,The woman was raped on her way home at night.,rape,ravish,C2,83,Society & Culture,Rare,,,assault;delight;desecrate
7554,Razorback,Having a sharp narrow back.,Adjective,A razor-backed horse.,razor-backed,,B2,43,General,Less Common,,,backed
7555,Razzing,Harass with persistent criticism or carping.,Verb,The children teased the new teacher.,tease,razz,C2,83,Communication,Rare,,,barrack;tantalise;blackguard
7556,Reaching,"Reach a destination, either real or abstract.",Verb,We hit Detroit by noon.,reach,make,A2,5,General,Very Common,,,surmount;locomote;top
7557,Readably,In a legible manner.,Adverb,You must write legibly.,legibly,decipherably,C2,83,General,Rare,,,readable;clear;decipherable
7558,Readily,In a punctual manner.,Adverb,He did his homework promptly.,promptly,pronto,A2,5,General,Very Common,,,punctual
7559,Readjust,Adjust anew.,Verb,"After moving back to America, he had to readjust.",readapt,,B1,32,General,Common,,,correct;focalise;acclimatise
7560,Readying,The activity of putting or setting in order in advance of some act or purpose.,Noun,Preparations for the ceremony had begun.,preparation,,B2,43,General,Less Common,,,activity;planning;ready
7561,Realine,Align anew or better.,Verb,The surgeon realigned my jaw after the accident.,realign,,C2,83,General,Rare,,,focalise;address;collimate
7562,Realism,The state of being actual or real.,Noun,The reality of his situation slowly dawned on him.,reality,realness,A2,6,General,Very Common,,,trueness;realist;practicality
7563,Reallocate,"Allocate, distribute, or apportion anew.",Verb,Congressional seats are reapportioned on the basis of census data.,reapportion,,C2,83,Business,Rare,,,allocate;apportion;present
7564,Realness,The state of being actual or real.,Noun,The reality of his situation slowly dawned on him.,reality,realism,B2,43,General,Less Common,,,trueness;real;actuality
7565,Reanimated,Give new life or energy to.,Verb,A hot soup will revive me.,animate,recreate,C2,83,Health & Wellness,Rare,,,energize;energise;resuscitate
7566,Reappearance,The act of someone appearing again.,Noun,His reappearance as Hamlet has been long awaited.,return,,B1,32,General,Common,,,appearance;manifestation;materialization
7567,Rearing,Helping someone grow up to be an accepted member of the community.,Noun,They debated whether nature or nurture was more important.,breeding,bringing up,B1,32,General,Common,,,upbringing;socialization;socialisation
7568,Rearwards,Direction toward the rear.,Noun,His outfit marched to the rearward of the tank divisions.,rearward,,C2,83,Travel & Places,Rare,,,backside;nape;scruff
7569,Reasonableness,The state of having good sense and sound judgment.,Noun,His rationality may have been impaired.,rationality,reason,C2,83,General,Rare,,,reasonable;soundness;sanity
7570,Reasoned,Decide by reasoning; draw or come to a conclusion.,Verb,We reasoned that it was cheaper to rent than to buy a house.,reason,reason out,B1,21,Academic,Common,,,generalise;present;represent
7571,Reasonless,Not marked by the use of reason.,Adjective,Mindless violence.,mindless,senseless,C2,83,General,Rare,,,unreasonable;irrational
7572,Reassure,Cause to feel sure; give reassurance to.,Verb,The airline tried to reassure the customers that the planes were safe.,assure,,B2,43,Emotion,Less Common,,,reassurance;tranquilize;compose
7573,Reassuring,Cause to feel sure; give reassurance to.,Verb,The airline tried to reassure the customers that the planes were safe.,reassure,assure,A2,14,Emotion,Very Common,,,tranquilize;compose;gruntle
7574,Rebarbative,Serving or tending to repel.,Adjective,He became rebarbative and prickly and spiteful.,repellent,repellant,C2,83,General,Rare,,,unpleasant
7575,Rebound,Spring back; spring away from an impact.,Verb,The rubber ball bounced.,bounce,resile,B1,32,General,Common,,,recover;recuperate;ricochet
7576,Rebuilding,Build again.,Verb,The house was rebuild after it was hit by a bomb.,rebuild,reconstruct,B1,16,Arts & Creativity,Common,,,construct;channelize;customize
7577,Recalcitrant,Stubbornly resistant to authority or control.,Adjective,A fractious animal that would not submit to the harness.,fractious,refractory,B1,32,General,Common,,,disobedient;defiant;recalcitrancy
7578,Recapitulate,Summarize briefly.,Verb,Let's recapitulate the main ideas.,recap,,B2,43,Communication,Less Common,,,summarise;duplicate;reduplicate
7579,Recasting,"Cast again, in a different role.",Verb,He was recast as Iago.,recast,,C2,83,Arts & Creativity,Rare,,,remould;cast;mold
7580,Receipt,Report the receipt of.,Verb,The program committee acknowledged the submission of the authors of the paper.,acknowledge,,B1,21,Communication,Common,,,communicate;request;bespeak
7581,Receptive,Ready or willing to receive favorably.,Adjective,Receptive to the proposals.,open,,B1,32,General,Common,,,receptivity;receive;acceptive
7582,Receptivity,Willingness or readiness to receive (especially impressions or ideas).,Noun,He was testing the government's receptiveness to reform.,receptiveness,openness,C2,83,General,Rare,,,receptive;eagerness;willingness
7583,Recessed,Put into a recess.,Verb,Recess lights.,recess,,B1,32,General,Common,,,position;put;set
7584,Recidivate,Go back to bad behavior.,Verb,Those who recidivate are often minor criminals.,relapse,lapse,C2,83,Health & Wellness,Rare,,,retrovert;regress;recover
7585,Reciprocally,(often followed by `for') in exchange or in reciprocation.,Adverb,Gave up our seats on the plane and in return received several hundred dollars and seats on the next plane out.,in return,,C2,83,General,Rare,,,trilateral;reciprocal;correlative
7586,Recital,The act of giving an account describing incidents or a course of events.,Noun,His narration was hesitant.,narration,yarn,A2,12,Communication,Very Common,,,account;conclusion;closing
7587,Recitation,A public instance of reciting or repeating (from memory) something prepared in advance.,Noun,The program included songs and recitations of well-loved poems.,recital,reading,B1,26,Communication,Common,,,speechmaking;speaking;supplement
7588,Reckoning,The act of counting; reciting numbers in ascending order.,Noun,The counting continued for several hours.,count,counting,B1,26,General,Common,,,estimate;estimation;conversion
7589,Reclaimed,"Bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one.",Verb,The Church reformed me.,reform,reclaim,B1,32,General,Common,,,acquire;recycle;preserve
7590,Recline,Lean in a comfortable resting position.,Verb,He was reposing on the couch.,recumb,repose,C2,83,General,Rare,,,position;incline;weather
7591,Recluse,Withdrawn from society; seeking solitude.,Adjective,Lived an unsocial reclusive life.,reclusive,withdrawn,B1,32,General,Common,,,unsocial
7592,Reclusive,Withdrawn from society; seeking solitude.,Adjective,Lived an unsocial reclusive life.,recluse,withdrawn,C2,83,General,Rare,,,private;reclusiveness;unsocial
7593,Recognise,Show approval or appreciation of.,Verb,My work is not recognized by anybody!,recognize,,C2,83,Society & Culture,Rare,,,treasure;appreciate;license
7594,Recollection,The process of remembering (especially the process of recovering information by mental effort).,Noun,He has total recall of the episode.,recall,reminiscence,B1,18,Academic,Common,,,retentiveness;reproduction;recognition
7595,Recompense,Make amends for; pay compensation for.,Verb,One can never fully repair the suffering and losses of the Jews in the Third Reich.,compensate,repair,B2,43,Business,Less Common,,,pay
7596,Reconcile,Make (one thing) compatible with (another).,Verb,The scientists had to accommodate the new results with the existing theories.,accommodate,conciliate,B1,21,General,Common,,,reconciliation;harmonize;correct
7597,Reconciliation,Getting two things to correspond.,Noun,The reconciliation of his checkbook and the bank statement.,balancing,,B2,43,General,Less Common,,,reconcile;cooperation;leveling
7598,Recondite,Difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge.,Adjective,The professor's lectures were so abstruse that students tended to avoid them.,abstruse,deep,B2,43,General,Less Common,,,reconditeness;esoteric
7599,Reconnaissance,The act of reconnoitring (especially to gain information about an enemy or potential enemy).,Noun,An exchange of fire occurred on a reconnaissance mission.,reconnaissance mission,,A2,11,General,Very Common,,,intelligence;scouting;reconnoitre
7600,Reconnoitring,Exploring in order to gain information.,Noun,Scouting in enemy territory is very dangerous.,scouting,exploratory survey,C2,83,General,Rare,,,reconnoitre;shufti;recce
7601,Reconsideration,Thinking again about a choice previously made.,Noun,He had second thoughts about his purchase.,second thought,afterthought,B1,21,Academic,Common,,,consideration;reconsider;reversal
7602,Reconstruct,Reassemble mentally.,Verb,Reconstruct the events of 20 years ago.,construct,retrace,B1,16,Academic,Common,,,speculate;theorize;conjecture
7603,Reconstructive,Helping to restore to good condition.,Adjective,Reconstructive surgery.,rehabilitative,,C2,83,General,Rare,,,reconstruct;constructive
7604,Recounting,An act of narration.,Noun,He was the hero according to his own relation.,relation,telling,B1,26,Communication,Common,,,narration;recital;recount
7605,Recovering,Get or find back; recover the use of.,Verb,She regained control of herself.,recover,retrieve,B1,21,Business,Common,,,acquire;improve;ameliorate
7606,Recreant,Having deserted a cause or principle.,Adjective,Some provinces had proved recreant.,renegade,,C2,83,General,Rare,,,cowardly;fearful;disloyal
7607,Recreational,Engaged in as a pastime.,Adjective,An amateur painter.,amateur,unpaid,A2,12,General,Very Common,,,recreation;nonprofessional
7608,Recriminatory,Countering one charge with another.,Adjective,Recriminatory arguments.,recriminative,,C2,83,General,Rare,,,recriminate;inculpatory;inculpative
7609,Recruit,Register formally as a participant or member.,Verb,The party recruited many new members.,enroll,inscribe,A2,10,Society & Culture,Very Common,,,register;recruiter;matriculate
7610,Rectangular,Having a set of mutually perpendicular axes; meeting at right angles.,Adjective,Wind and sea may displace the ship's center of gravity along three orthogonal axes.,orthogonal,,B1,18,General,Common,,,perpendicular;rectangle;rectangularity
7611,Rectified,Math: determine the length of.,Verb,Rectify a curve.,rectify,,C2,83,Communication,Rare,,,determine;sublimate;translate
7612,Rectilineal,Characterized by a straight line or lines.,Adjective,Rectilinear patterns in wallpaper.,rectilinear,,C2,83,General,Rare,,,linear
7613,Recuperate,Regain or make up for.,Verb,Recuperate one's losses.,recover,recoup,C2,83,Business,Rare,,,acquire;retrovert;regress
7614,Recurrence,Happening again (especially at regular intervals).,Noun,The return of spring.,return,,B2,43,General,Less Common,,,recurrent;repetition;sequence
7615,Recurrent,Recurring again and again.,Adjective,Perennial efforts to stipulate the requirements.,perennial,repeated,B1,21,General,Common,,,recurrence;recur;continual
7616,Recycle,Use again after processing.,Verb,We must recycle the cardboard boxes.,reprocess,reuse,C2,83,Health & Wellness,Rare,,,recycling;utilise;recover
7617,Redeemable,Able to be converted into ready money or the equivalent.,Adjective,A cashable check.,cashable,,C2,83,General,Rare,,,convertible;exchangeable;recoverable
7618,Redemptional,Of or relating to or resulting in redemption.,Adjective,A redemptive theory about life.,redemptive,redemptory,C2,83,General,Rare,,,redemption
7619,Redemptive,Of or relating to or resulting in redemption.,Adjective,A redemptive theory about life.,redemptional,redemptory,B2,43,General,Less Common,,,redeem;redemption;good
7620,Redevelopment,The act of improving by renewing and restoring.,Noun,They are pursuing a general program of renovation to the entire property.,renovation,overhaul,B1,18,General,Common,,,improvement;modernisation;melioration
7621,Redistributed,Distribute anew.,Verb,Redistribute the troops more strategically.,redistribute,,B1,32,General,Common,,,distribute;straggle;generalise
7622,Redoubled,"Double in magnitude, extent, or intensity.",Verb,The enemy redoubled their screaming on the radio.,redouble,,B1,26,General,Common,,,duplicate;geminate;escalate
7623,Redress,Make reparations or amends for.,Verb,Right a wrongs done to the victims of the Holocaust.,right,compensate,B1,32,Society & Culture,Common,,,change;alter;modify
7624,Reduced,Cut down on; make a reduction in.,Verb,Reduce your daily fat intake.,reduce,cut down,A2,5,General,Very Common,,,decrease;detract;subtract
7625,Redundancy,The attribute of being superfluous and unneeded.,Noun,The use of industrial robots created redundancy among workers.,redundance,,B1,21,General,Common,,,superfluity;redundant;repetitiveness
7626,Reduplicate,Form by reduplication.,Verb,The consonant reduplicates after a short vowel.,geminate,,C2,84,Arts & Creativity,Rare,,,duplicate;replicate;reproduce
7627,Reeking,Have an element suggestive (of something).,Verb,His speeches smacked of racism.,smack,reek,B2,43,General,Less Common,,,suggest;incriminate;evoke
7628,Reenforce,Make stronger.,Verb,He reinforced the concrete.,reinforce,,C2,84,General,Rare,,,reenforcement;strengthen;bolster
7629,Reenforcement,Information that makes more forcible or convincing.,Noun,His gestures provided eloquent reinforcement for his complaints.,reinforcement,,C2,84,Communication,Rare,,,confirmation;reenforce;operation
7630,Reestablish,"Bring back into original existence, use, function, or position.",Verb,Restore law and order.,restore,reinstate,B2,43,Society & Culture,Less Common,,,change;alter;modify
7631,Refashion,Make new.,Verb,She is remaking her image.,remake,redo,B2,43,Arts & Creativity,Less Common,,,produce;make;create
7632,Refereeing,The act of umpiring.,Noun,The officiating was excellent.,umpirage,officiation,C2,84,General,Rare,,,deciding;alternative;determination
7633,Referenced,Refer to.,Verb,He referenced his colleagues' work.,reference,cite,C2,84,Arts & Creativity,Rare,,,compose;poetise;annotate
7634,Refined,Improve or perfect by pruning or polishing.,Verb,Refine one's style of writing.,polish,refine,B1,16,General,Common,,,improve;ameliorate;overrefine
7635,Refining,Improve or perfect by pruning or polishing.,Verb,Refine one's style of writing.,polish,refine,B1,32,General,Common,,,improve;ameliorate;overrefine
7636,Reflective,Deeply or seriously thoughtful.,Adjective,"Byron lives on not only in his poetry, but also in his creation of the 'Byronic hero' - the persona of a brooding melancholy young man.",brooding,broody,B1,16,General,Common,,,reflect;thoughtful;mirrorlike
7637,Reflectorise,"Provide with reflectors, such as chemicals.",Verb,The driveway was reflectorized for safety reasons.,reflectorize,,C2,84,Business,Rare,,,provide;furnish;supply
7638,Reflectorize,"Provide with reflectors, such as chemicals.",Verb,The driveway was reflectorized for safety reasons.,reflectorise,,C2,84,Business,Rare,,,provide;furnish;supply
7639,Reflexive,Without volition or conscious control.,Adjective,The automatic shrinking of the pupils of the eye in strong light.,automatic,reflex,C2,84,General,Rare,,,involuntary;reflexiveness;reflexivity
7640,Reforge,Cast or model anew.,Verb,She had to recast her image to please the electorate in her home state.,recast,remodel,C2,84,Arts & Creativity,Rare,,,refashion;remake;redo
7641,Reformation,Rescuing from error and returning to a rightful course.,Noun,The reclamation of delinquent children.,reclamation,,B1,18,General,Common,,,improvement;melioration;development
7642,Reformative,Tending to reform.,Adjective,Reformative and rehabilitative agencies.,reformatory,,C2,84,General,Rare,,,helpful;reform
7643,Reformed,Make changes for improvement in order to remove abuse and injustices.,Verb,Reform a political system.,reform,,B1,26,General,Common,,,improve;ameliorate;better
7644,Refractive,Of or relating to or capable of refraction.,Adjective,The refractive characteristics of the eye.,refractile,,B2,43,General,Less Common,,,crooked;refractiveness;refract
7645,Refrain,Resist doing something.,Verb,He refrained from hitting him back.,forbear,,A2,10,General,Very Common,,,abstain;teetotal;leave
7646,Refreshed,Refresh one's memory.,Verb,I reviewed the material before the test.,review,brush up,B1,18,Academic,Common,,,remember;recognize;recognise
7647,Refreshen,Become or make oneself fresh again.,Verb,She freshened up after the tennis game.,freshen,refresh,C2,84,Health & Wellness,Rare,,,change;alter;modify
7648,Refreshfully,In a manner that relieves fatigue and restores vitality.,Adverb,The air was refreshingly cool.,refreshingly,,C2,84,General,Rare,,,invigorating
7649,Refreshingly,In a manner that relieves fatigue and restores vitality.,Adverb,The air was refreshingly cool.,refreshfully,,B1,32,General,Common,,,refreshing;invigorating;new
7650,Refrigerant,Causing cooling or freezing.,Adjective,A refrigerant substance such as ice or solid carbon dioxide.,refrigerating,,C2,84,General,Rare,,,refrigerate;cold
7651,Refrigerating,Preserve by chilling.,Verb,Many foods must be refrigerated or else they will spoil.,refrigerate,,C2,84,General,Rare,,,preserve;conserve;keep
7652,Refulgent,Radiating or as if radiating light.,Adjective,The beaming sun.,beaming,beamy,C2,84,General,Rare,,,refulgency;refulgence;bright
7653,Refurbishment,The state of being restored to its former good condition.,Noun,The inn was a renovation of a Colonial house.,renovation,restoration,C2,84,General,Rare,,,improvement;melioration;development
7654,Regaining,Getting something back again.,Noun,Upon the restitution of the book to its rightful owner the child was given a tongue lashing.,restitution,return,B1,26,General,Common,,,acquisition;procurement;procurance
7655,Regenerating,"Reestablish on a new, usually improved, basis or make new or like new.",Verb,We renewed our friendship after a hiatus of twenty years.,regenerate,renew,B2,43,Arts & Creativity,Less Common,,,renovate;restore;remould
7656,Regimented,"Subject to rigid discipline, order, and systematization.",Verb,Regiment one's children.,regiment,,B2,43,Society & Culture,Less Common,,,control;command;dominate
7657,Regress,Go back to a previous state.,Verb,We reverted to the old rules.,revert,return,C2,84,General,Rare,,,reverse;recidivate;recover
7658,Regrets,Sadness associated with some wrong done or some disappointment.,Noun,He drank to drown his sorrows.,sorrow,regret,B1,26,Emotion,Common,,,acknowledgment;sadness;farewell
7659,Regrettably,By bad luck.,Adverb,Unfortunately it rained all day.,unfortunately,unluckily,B1,32,General,Common,,,unhappy;miserable;misfortunate
7660,Regularize,Bring into conformity with rules or principles or usage; impose regulations.,Verb,We cannot regulate the way people dress.,regulate,regularise,C2,84,Society & Culture,Rare,,,determine;arrange;purpose
7661,Regulate,"Fix or adjust the time, amount, degree, or rate of.",Verb,Regulate the temperature.,modulate,,B1,32,General,Common,,,regulatory;correct;regulation
7662,Regulating,The act of controlling or directing according to rule.,Noun,Fiscal regulations are in the hands of politicians.,regulation,,B1,21,General,Common,,,regulate;control;limitation
7663,Regurgitate,Repeat after memorization.,Verb,"For the exam, you must be able to regurgitate the information.",reproduce,,C2,84,Communication,Rare,,,malnourish;breakfast;nourish
7664,Reharmonise,Provide with a different harmony.,Verb,Reharmonize the melody.,reharmonize,,C2,84,Arts & Creativity,Rare,,,harmonize;realize;realise
7665,Reharmonize,Provide with a different harmony.,Verb,Reharmonize the melody.,reharmonise,,C2,84,Arts & Creativity,Rare,,,harmonize;realize;realise
7666,Reification,Representing a human being as a physical thing deprived of personal qualities or individuality.,Noun,"According to Marx, treating labor as a commodity exemplified the reification of the individual.",depersonalization,depersonalisation,C2,84,General,Rare,,,reify;objectification;embodiment
7667,Reincarnate,Be born anew in another body after death.,Verb,Hindus believe that we transmigrate.,transmigrate,,C2,84,General,Rare,,,restore;reincarnation;regenerate
7668,Reinforced,Make stronger.,Verb,He reinforced the concrete.,reinforce,reenforce,A2,14,General,Very Common,,,strengthen;bolster;instruct
7669,Reinstate,"Bring back into original existence, use, function, or position.",Verb,Restore law and order.,restore,reestablish,C2,84,Society & Culture,Rare,,,reconstruct;decompress;reinstatement
7670,Reintroduce,Introduce anew.,Verb,"We haven't met in a long time, so let me reintroduce myself.",re-introduce,,C2,84,Communication,Rare,,,introduce;present;reintroduction
7671,Reinvigorated,"Impart vigor, strength, or vitality to.",Verb,Exercise is invigorating.,invigorate,reinvigorate,C2,84,Health & Wellness,Rare,,,energize;energise;renovate
7672,Reiterate,"To say, state, or perform again.",Verb,She kept reiterating her request.,repeat,ingeminate,B2,43,Communication,Less Common,,,translate;summarise;announce
7673,Rejoicing,To express great joy.,Verb,Who cannot exult in Spring?,exuberate,exult,B1,21,Communication,Common,,,experience;radiate;sympathize
7674,Rejoinder,A quick reply to a question or remark (especially a witty or critical one).,Noun,It brought a sharp rejoinder from the teacher.,retort,return,B2,43,Communication,Less Common,,,response;riposte;counter
7675,Rejuvenation,The phenomenon of vitality and freshness being restored.,Noun,The annual rejuvenation of the landscape.,greening,,C2,84,General,Rare,,,restoration;rejuvenate;reinstatement
7676,Relapsing,Deteriorate in health.,Verb,He relapsed.,get worse,relapse,C2,84,General,Rare,,,retrovert;regress;recidivate
7677,Relations,A person related by blood or marriage.,Noun,Police are searching for relatives of the deceased.,relative,relation,A2,5,Society & Culture,Very Common,,,chemistry;politics;attribute
7678,Relaxing,"Become less tense, rest, or take one's ease.",Verb,He relaxed in the hot tub.,relax,loosen up,B1,18,Health & Wellness,Common,,,slacken;turn;vegetate
7679,Releasing,"Release, as from one's grip.",Verb,"Let go of the door handle, please!",let go of,let go,B1,32,General,Common,,,withdraw;discharge;disengage
7680,Relegating,Refer to another person for decision or judgment.,Verb,She likes to relegate difficult questions to her colleagues.,relegate,pass on,C2,84,Society & Culture,Rare,,,subject;designate;transfer
7681,Relentlessly,In a relentless manner.,Adverb,He worked relentlessly.,unrelentingly,,B1,18,General,Common,,,relentless;continual
7682,Reliably,In a faithful manner.,Adverb,"It always came on, faithfully, like the radio.",faithfully,dependably,B2,43,General,Less Common,,,reliable;truehearted;trustworthy
7683,Relieve,"Provide physical relief, as from pain.",Verb,This pill will relieve your headaches.,alleviate,palliate,A2,9,Health & Wellness,Very Common,,,improve;ameliorate;comfort
7684,Relieved,"Provide physical relief, as from pain.",Verb,This pill will relieve your headaches.,relieve,alleviate,A2,6,Health & Wellness,Very Common,,,improve;ameliorate;comfort
